deposit_type,lead_time,total_of_special_requests,market_segment,adr,arrival_date_week_number,arrival_date_day_of_month,stays_in_week_nights
0,253,0,1,188.0,28,15,3
1,157,0,2,52.0,40,1,2
0,313,0,1,30.24,12,24,2
0,41,1,1,86.29,53,30,5
0,44,1,1,110.4,14,7,3
1,420,0,0,75.0,36,3,2
0,20,2,3,62.7,47,13,0
0,47,0,5,93.0,26,25,5
1,124,0,0,80.0,15,9,5
0,1,0,1,84.0,51,14,4
0,27,0,1,108.0,9,3,2
0,68,0,0,110.0,20,14,1
0,0,1,1,101.0,16,15,2
0,12,0,2,85.0,28,9,2
0,17,0,2,84.0,38,14,2
0,121,1,1,96.9,3,20,2
0,37,0,2,105.0,42,13,3
0,66,0,2,75.0,41,9,2
0,66,1,2,147.56,20,14,2
0,162,0,0,98.0,13,1,1
0,2,1,1,48.0,5,28,1
0,85,1,2,89.1,22,28,2
0,50,1,1,89.67,23,30,2
0,59,0,2,75.0,47,18,2
0,15,0,1,221.0,19,6,1
0,108,1,1,88.0,19,3,5
0,0,1,1,73.0,49,5,1
0,24,0,1,80.2,49,27,1
0,187,1,1,112.5,32,11,2
1,166,0,2,110.0,45,1,3
0,62,2,1,150.3,27,2,2
0,158,1,0,95.0,13,27,1
0,167,0,1,80.75,27,28,4
0,1,1,1,107.6,24,16,1
0,92,1,1,76.5,15,6,1
0,81,0,2,59.5,12,18,2
0,0,1,3,43.0,49,2,1
0,63,0,3,80.1,44,26,2
0,95,0,0,75.0,45,5,1
0,5,0,5,38.0,3,11,0
0,0,0,3,77.0,42,9,0
0,102,0,2,109.0,42,16,2
0,17,1,1,61.2,49,3,1
0,81,2,3,153.0,37,6,3
0,1,1,1,94.0,20,10,1
0,386,1,2,115.0,44,23,0
1,137,0,0,70.0,5,27,2
1,52,0,2,80.0,11,13,1
1,71,0,2,120.0,25,14,3
1,85,0,0,111.0,45,7,1
0,7,1,1,43.0,10,3,3
0,1,0,1,109.0,12,14,2
0,36,1,1,170.0,24,12,4
0,52,0,2,37.4,19,1,7
0,33,1,1,37.8,46,6,3
0,304,1,3,90.67,28,11,4
0,3,0,2,80.0,7,12,0
0,14,0,1,74.8,5,29,12
0,205,2,1,85.5,43,18,4
0,256,0,2,90.0,25,15,2
0,287,0,0,50.5,42,15,3
0,167,3,1,72.0,26,20,3
0,220,1,0,73.33,23,4,1
0,43,1,1,120.0,28,10,2
0,16,0,2,41.4,18,29,5
0,97,1,1,76.5,14,2,1
0,150,0,1,112.5,33,14,0
0,2,1,1,103.5,12,22,2
0,1,0,1,49.0,51,12,0
1,33,0,2,110.0,50,9,2
1,114,0,2,75.0,27,1,2
0,54,2,1,87.0,52,24,2
0,58,1,1,119.85,20,12,4
0,383,0,0,48.0,41,6,3
0,60,1,1,97.28,6,11,3
1,100,0,2,105.0,16,22,2
0,107,2,1,146.7,27,28,5
0,56,0,1,93.6,50,7,3
1,379,0,0,62.0,30,21,2
0,221,0,2,34.0,41,10,1
0,0,2,1,139.0,36,31,2
0,31,0,2,70.0,38,16,2
0,56,2,1,96.0,49,3,1
0,16,1,1,105.82,16,12,3
0,72,0,0,85.67,44,28,3
1,250,0,2,95.0,40,26,3
0,40,0,0,55.0,3,16,2
1,134,0,2,110.0,23,7,2
0,0,0,3,58.0,49,2,2
1,411,0,0,71.1,22,31,4
0,7,1,1,77.5,4,19,3
0,149,0,1,126.0,4,27,1
0,4,0,5,52.5,17,24,1
0,7,1,3,100.0,44,29,1
0,118,1,1,137.25,18,30,2
0,56,0,2,75.0,12,22,3
0,4,1,5,65.0,8,15,1
0,0,0,3,65.0,48,28,1
1,420,0,0,75.0,36,3,2
0,37,3,1,52.67,51,17,6
1,164,0,0,60.0,33,14,1
1,166,0,2,110.0,45,1,3
0,48,1,1,140.0,28,11,1
0,59,0,1,177.57,34,17,5
0,39,1,0,62.0,33,10,1
1,155,0,0,36.0,44,31,1
0,16,0,5,53.25,7,17,2
0,11,1,1,160.0,30,28,2
0,100,2,1,185.0,30,23,5
0,0,0,1,0.0,5,30,0
0,1,0,4,0.0,43,22,0
0,283,0,2,64.8,37,4,5
0,64,1,1,210.0,31,4,1
0,16,0,0,92.65,24,8,1
0,1,0,1,77.25,51,19,1
0,22,1,1,340.0,33,19,2
0,119,1,2,71.0,15,4,3
0,60,0,2,65.0,39,21,1
0,22,0,3,114.0,44,25,3
0,335,0,2,80.0,42,13,3
0,0,2,1,120.0,28,13,1
0,301,1,2,115.0,31,30,1
0,14,0,1,118.0,36,30,2
1,372,0,0,59.0,29,14,1
0,3,2,5,95.0,33,14,0
0,12,0,3,50.4,53,27,1
0,7,2,1,194.0,30,22,2
0,116,0,3,145.88,27,26,5
1,60,0,2,75.0,13,20,2
1,215,0,0,110.0,26,28,4
0,5,0,3,109.75,37,7,3
0,32,0,1,73.32,17,18,5
0,52,2,2,135.0,30,25,3
1,155,0,0,36.0,44,31,1
0,43,1,1,79.46,46,11,2
0,34,0,1,115.2,13,22,3
0,36,0,2,136.0,21,26,2
0,141,1,1,109.8,27,30,3
0,351,0,0,82.0,14,8,5
1,373,0,2,90.0,14,5,3
0,1,1,1,48.0,11,7,0
0,48,1,0,65.0,8,22,2
0,117,1,1,100.8,18,6,1
0,7,1,5,65.0,31,2,2
0,77,1,1,126.9,20,8,2
0,0,0,1,82.88,52,19,4
0,142,0,1,86.1,35,31,3
0,217,1,1,99.0,17,25,1
1,342,0,0,170.0,39,24,4
0,268,0,2,78.0,15,8,3
0,211,0,1,107.1,21,24,4
1,188,0,2,130.0,25,15,2
0,116,2,1,138.55,28,6,4
0,27,2,1,65.7,45,3,3
0,118,1,2,59.0,37,9,5
0,116,3,1,143.1,39,18,3
0,187,1,1,125.1,28,9,0
0,53,0,2,68.0,47,14,3
0,35,0,1,118.8,17,22,2
0,153,0,1,153.51,26,30,5
0,147,0,1,184.5,30,25,1
0,57,1,1,117.73,18,26,4
0,74,0,2,107.5,36,5,5
0,50,0,1,101.68,30,21,5
0,7,0,1,83.0,2,4,2
0,48,0,3,56.27,9,21,4
0,276,0,0,62.0,30,20,1
0,90,1,1,190.0,26,1,2
0,70,0,2,90.0,23,3,2
1,411,0,0,71.1,22,31,4
0,68,2,3,108.0,28,11,2
0,79,0,1,80.0,21,21,3
0,265,1,2,115.0,26,24,2
0,29,0,3,240.0,23,9,2
0,0,1,5,60.0,17,25,1
0,187,1,2,80.1,32,10,3
1,178,0,2,120.0,18,28,3
0,178,0,1,139.28,20,20,2
0,1,0,5,79.0,7,13,1
0,2,1,1,194.0,29,15,2
0,115,0,1,108.0,25,23,2
0,6,1,5,67.0,50,8,1
0,277,1,1,106.34,32,9,3
0,386,1,0,55.0,43,20,3
0,39,1,1,75.8,8,19,2
0,3,0,6,110.0,13,31,10
0,20,0,0,120.0,21,24,1
1,221,0,0,86.0,40,3,1
0,102,0,1,82.0,52,20,1
0,59,2,1,212.14,30,27,5
0,9,0,6,95.0,16,16,3
0,58,1,2,80.67,5,27,3
0,0,0,1,117.0,53,29,1
0,140,2,1,108.0,42,11,3
0,40,0,5,40.0,46,11,4
0,3,0,3,70.0,4,28,1
0,38,1,1,116.65,42,11,3
0,56,0,1,63.75,11,12,2
0,38,0,1,69.44,8,20,3
0,300,2,1,98.28,31,4,2
0,72,0,2,108.0,38,18,1
0,0,0,1,74.8,6,6,3
0,41,0,2,57.0,41,4,4
0,295,0,0,60.0,32,8,2
0,30,4,1,139.0,43,21,2
0,14,1,3,119.0,30,24,1
0,8,1,1,84.7,44,27,1
1,215,0,0,110.0,26,28,4
0,302,0,0,62.0,33,15,2
1,156,0,0,100.0,17,26,3
0,33,1,1,58.0,47,19,2
0,351,0,0,62.0,40,3,2
0,211,0,0,85.0,20,14,1
0,182,0,1,56.24,47,14,3
0,161,0,1,49.0,43,17,1
0,7,1,2,91.0,21,21,1
0,29,1,3,140.0,27,7,2
0,0,2,1,105.0,28,13,1
0,112,0,0,68.0,7,12,2
0,4,1,0,100.0,2,14,1
0,148,1,1,164.7,32,9,3
0,2,1,1,36.0,45,4,2
0,73,0,1,48.0,14,28,2
1,74,0,2,101.5,38,18,2
0,0,1,1,118.0,9,3,1
0,0,0,3,180.0,33,13,0
0,39,1,1,80.0,12,24,2
1,181,0,0,100.0,23,8,2
0,1,2,1,184.5,34,16,1
0,39,0,1,82.0,17,18,4
0,64,0,1,131.14,37,4,5
1,336,0,2,101.5,38,18,2
0,59,1,1,104.64,32,5,2
0,3,0,0,0.0,39,24,4
0,6,0,1,124.1,6,5,4
0,0,0,5,131.0,40,29,3
0,171,2,1,128.7,35,26,1
0,85,0,1,120.0,15,9,4
0,59,1,1,120.96,36,2,3
0,193,0,2,34.2,19,13,5
0,97,0,2,75.0,21,15,3
0,43,2,2,135.4,25,21,5
0,37,0,1,116.1,20,13,1
1,87,0,0,95.0,15,15,2
0,92,1,1,81.9,15,4,1
0,120,1,1,195.0,30,29,1
0,43,1,1,179.0,22,3,1
0,1,0,1,89.0,7,16,1
0,47,2,1,255.0,33,13,3
0,0,0,5,48.0,44,28,1
0,4,0,1,0.0,50,4,0
1,179,0,0,65.0,27,1,2
0,140,0,2,130.0,17,28,2
0,46,0,1,215.5,40,28,4
1,79,0,2,75.0,46,13,2
0,34,2,1,140.0,24,12,0
0,4,0,1,81.0,7,13,1
0,42,1,1,121.33,12,23,3
1,349,0,0,62.0,40,1,2
0,1,0,1,139.0,20,12,1
1,342,0,0,170.0,39,24,4
0,36,1,1,75.0,18,24,0
0,53,0,0,65.0,47,18,4
0,49,0,2,60.0,46,9,2
0,84,2,2,80.75,43,21,2
0,59,2,1,80.3,10,2,3
0,5,1,1,67.99,46,14,2
0,23,1,3,264.0,33,18,1
0,61,0,1,102.0,13,21,3
1,104,0,2,75.0,49,3,3
0,85,0,1,160.2,11,16,3
0,296,1,1,81.0,16,22,1
0,3,5,1,198.86,35,24,5
0,187,1,1,72.0,23,2,5
0,8,0,1,48.0,10,1,4
0,11,1,1,113.34,38,15,3
0,2,1,1,56.4,2,4,4
0,2,0,0,170.0,39,24,4
0,8,0,3,83.13,47,15,3
0,190,0,0,70.0,15,9,1
0,265,2,1,84.6,8,23,1
0,174,1,2,112.0,31,25,2
0,87,2,1,89.25,38,15,3
0,23,1,1,96.0,20,15,1
0,36,2,1,89.89,48,25,4
0,21,1,1,100.3,9,26,2
0,35,1,1,144.9,32,1,0
0,118,2,1,225.0,31,30,2
0,221,2,1,224.33,33,15,5
0,166,0,1,96.3,35,27,1
0,159,1,2,70.0,15,9,1
0,59,0,0,62.0,6,6,2
0,213,1,1,107.1,22,1,3
0,12,0,0,85.67,44,25,1
0,153,1,2,57.6,42,14,4
0,132,0,1,90.95,27,28,4
0,296,0,2,117.0,39,21,4
0,72,0,1,101.25,18,29,2
0,0,1,1,40.0,48,27,2
0,80,1,1,117.9,33,12,2
1,295,0,0,62.0,18,28,2
0,166,0,1,122.7,29,21,2
0,193,3,1,224.0,31,31,3
0,22,0,2,59.0,41,5,1
0,202,1,1,77.1,40,1,2
0,4,0,5,39.0,52,19,0
0,198,0,0,57.5,21,20,1
0,0,0,1,149.0,30,21,1
0,15,2,1,60.0,10,10,1
0,118,0,2,110.0,24,6,3
0,201,2,1,46.98,21,16,8
0,178,1,1,112.58,28,10,5
0,215,0,1,162.0,35,30,5
0,17,0,1,79.0,11,9,2
1,384,0,0,65.0,30,20,2
0,5,0,1,105.0,45,1,2
0,60,0,3,234.0,44,27,1
0,64,0,3,109.65,21,16,3
0,123,1,3,90.0,19,7,5
0,17,1,2,175.2,34,18,3
0,0,1,1,64.0,3,18,2
0,90,0,2,78.63,17,21,3
0,17,0,0,36.0,49,30,3
0,21,1,1,84.0,17,29,1
1,130,0,0,100.0,16,13,4
0,174,1,0,90.0,10,5,2
0,386,0,0,49.0,43,20,3
0,2,1,1,156.1,29,19,4
0,71,0,1,69.05,12,17,2
0,148,1,1,42.0,11,16,3
0,1,1,1,48.0,2,14,1
0,160,2,2,80.1,30,23,3
0,0,1,2,190.0,18,2,2
0,7,0,0,37.0,9,2,3
0,3,0,1,62.4,9,27,0
0,38,0,3,130.35,52,24,1
0,7,2,1,184.0,38,13,1
0,116,1,0,100.0,12,24,2
0,6,1,1,87.78,43,19,2
0,32,0,1,93.57,18,30,5
0,40,0,1,150.3,14,1,2
0,3,0,2,29.0,5,24,0
0,97,2,1,143.14,53,26,4
0,180,1,1,124.22,28,9,6
0,11,1,1,139.67,17,29,1
0,73,2,3,241.5,29,18,5
1,622,0,0,62.0,12,23,2
0,72,0,1,79.2,12,24,1
0,140,0,2,86.95,36,1,8
0,22,0,1,119.0,39,24,1
0,327,0,1,130.5,28,9,5
0,110,0,2,71.1,28,9,1
0,30,1,1,94.0,8,22,2
0,282,1,3,154.8,25,24,5
0,205,0,2,152.1,33,19,6
0,96,0,0,55.0,42,9,1
1,28,0,0,95.0,9,2,3
1,155,0,2,130.0,15,13,3
0,301,0,2,90.0,31,30,1
0,52,1,1,74.8,6,9,5
0,9,0,2,68.0,8,25,2
0,187,2,1,212.0,34,15,3
0,266,2,1,117.3,45,30,2
0,15,1,1,240.0,32,4,3
0,282,1,0,73.33,24,9,3
0,11,0,1,154.0,37,5,1
0,8,1,1,286.0,33,13,1
0,144,0,1,176.0,34,17,4
1,15,0,2,95.0,7,17,2
0,1,1,3,91.0,4,21,1
0,143,2,1,129.6,39,21,4
0,48,1,1,48.0,48,25,2
0,39,2,3,226.95,38,16,2
0,0,0,3,12.0,7,17,1
0,5,0,5,66.0,10,28,0
0,92,0,2,52.0,10,5,5
0,1,0,2,26.0,48,28,1
0,265,1,2,115.0,26,24,2
0,0,2,1,81.0,53,28,1
0,113,0,1,109.0,41,3,5
0,11,0,6,104.0,16,11,2
0,4,0,5,35.0,48,23,1
0,19,1,1,104.0,50,5,2
1,391,0,0,62.0,32,4,2
1,68,0,0,75.0,8,17,2
0,221,0,2,80.0,33,12,1
0,130,1,2,64.9,27,4,6
0,106,0,1,162.35,17,24,4
0,212,0,1,80.75,33,11,3
0,37,0,1,142.8,6,10,2
0,5,0,2,0.0,43,21,1
0,27,1,1,97.92,42,13,4
0,292,0,2,90.0,30,21,2
0,74,1,1,124.6,46,10,3
0,72,0,0,85.67,44,28,3
0,8,0,1,76.5,46,11,2
0,23,0,1,0.0,17,23,0
0,114,0,1,99.9,19,2,1
0,38,1,1,119.0,27,2,0
0,38,0,1,98.0,11,16,1
0,3,1,1,174.0,32,3,1
0,65,1,1,89.25,42,14,4
0,60,1,1,126.0,14,8,1
0,56,0,0,120.0,23,30,0
1,166,0,2,110.0,45,1,3
1,271,0,0,62.0,29,15,2
0,83,1,1,192.0,30,21,3
0,14,1,1,147.9,9,21,2
0,318,0,3,96.91,22,2,5
0,252,1,1,81.9,2,9,2
0,41,0,0,62.0,33,12,2
0,297,0,0,65.0,20,14,1
0,0,0,3,118.0,51,14,1
0,168,0,1,164.7,33,16,1
0,0,0,3,39.0,2,12,1
0,9,0,3,110.15,23,31,2
1,259,0,0,40.05,38,17,3
0,3,2,1,108.0,2,13,1
0,79,0,2,109.0,26,24,2
0,78,1,3,132.0,19,9,5
0,72,0,2,41.4,15,9,5
0,7,0,3,164.0,30,26,1
0,66,0,1,132.0,15,13,3
0,46,0,3,102.25,52,22,12
0,82,1,1,85.7,29,10,1
0,1,3,1,105.0,33,11,3
1,157,0,2,52.0,40,1,2
0,0,1,1,80.3,2,5,2
0,1,2,1,72.5,18,6,1
0,93,0,1,145.0,29,18,4
0,263,2,1,82.0,26,25,5
0,37,1,1,132.84,40,29,2
0,183,0,2,85.0,30,27,3
0,1,0,1,59.03,48,25,1
0,7,0,0,29.0,9,2,3
0,9,1,1,35.11,6,31,4
0,96,0,2,71.1,33,16,4
0,35,1,1,146.75,37,10,3
0,14,2,1,126.0,43,19,1
0,207,0,1,130.5,31,1,4
0,198,1,1,115.21,22,2,2
0,142,1,1,65.7,20,8,6
0,20,0,6,110.0,22,26,1
0,240,0,2,84.15,24,15,3
0,0,0,2,25.0,49,3,1
0,152,2,1,208.86,28,11,5
0,25,1,1,129.0,24,11,0
0,61,0,1,161.0,25,17,2
0,175,0,1,107.1,27,5,4
0,32,0,2,73.0,47,20,2
0,109,1,1,225.0,33,16,4
0,214,0,1,103.5,41,7,2
0,287,0,1,62.37,17,29,5
