hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,163,2017,August,32,12,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,1,D,D,0,No Deposit,181.0,,0,Transient,172.0,1,2,Check-Out,2017-08-19
City Hotel,1,96,2017,April,17,26,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,130.0,0,0,Canceled,2017-01-20
Resort Hotel,0,43,2015,October,43,20,0,4,1,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,42.3,1,1,Check-Out,2015-10-24
Resort Hotel,0,11,2015,December,51,18,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,48.0,0,1,Check-Out,2015-12-19
City Hotel,1,188,2016,June,25,15,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,119.0,,39,Transient,130.0,0,0,Canceled,2016-01-18
City Hotel,0,0,2016,March,11,6,2,1,2,0.0,0,BB,AGO,Online TA,Direct,0,0,0,D,E,1,No Deposit,,,0,Transient,110.0,0,1,Check-Out,2016-03-09
City Hotel,0,1,2017,February,8,21,0,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,146.0,0,1,Check-Out,2017-02-22
Resort Hotel,0,0,2017,January,4,26,0,1,2,0.0,0,BB,RUS,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,65.0,0,0,Check-Out,2017-01-27
Resort Hotel,0,0,2016,April,17,21,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,74.0,1,1,Check-Out,2016-04-22
Resort Hotel,1,17,2016,October,45,30,1,0,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,63.0,0,0,Canceled,2016-10-24
City Hotel,1,77,2016,February,9,24,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,64.0,0,0,Canceled,2016-01-11
City Hotel,0,1,2016,October,44,28,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20.0,,0,Transient-Party,95.0,1,1,Check-Out,2016-10-29
Resort Hotel,1,86,2017,March,10,9,0,3,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,67.0,,0,Transient,46.0,0,0,Canceled,2016-12-13
City Hotel,0,104,2017,June,22,2,1,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,135.0,0,0,Check-Out,2017-06-05
City Hotel,1,195,2015,September,38,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,20.0,,0,Transient,48.0,0,0,Canceled,2015-07-23
City Hotel,1,12,2015,October,44,25,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,37.0,,0,Transient-Party,111.0,0,0,Canceled,2015-10-14
City Hotel,0,0,2015,September,37,8,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13.0,,0,Transient,91.2,0,0,Check-Out,2015-09-09
City Hotel,0,128,2017,August,34,20,2,0,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,145.0,0,1,Check-Out,2017-08-22
Resort Hotel,0,386,2016,October,43,20,1,3,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,55.0,0,1,Check-Out,2016-10-24
City Hotel,0,213,2017,August,33,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,80.1,0,2,Check-Out,2017-08-19
City Hotel,0,61,2016,March,12,19,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,138.0,,0,Transient,63.58,0,0,Check-Out,2016-03-23
City Hotel,1,75,2016,October,45,30,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,105.0,0,0,Canceled,2016-10-17
Resort Hotel,0,155,2016,July,30,21,2,5,2,2.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,215.0,0,1,Check-Out,2016-07-28
Resort Hotel,0,69,2015,December,53,31,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,160.98,0,2,Check-Out,2016-01-03
Resort Hotel,0,44,2015,October,40,1,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,69.93,0,1,Check-Out,2015-10-08
City Hotel,0,179,2016,October,44,27,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.9,0,3,Check-Out,2016-10-31
Resort Hotel,0,24,2016,March,14,28,2,5,1,0.0,0,HB,LUX,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,,,0,Transient-Party,58.0,0,0,Check-Out,2016-04-04
Resort Hotel,0,4,2017,August,34,20,2,0,1,0.0,0,BB,PRT,Complementary,Corporate,0,0,0,A,E,0,No Deposit,302.0,,0,Transient,0.0,0,1,Check-Out,2017-08-22
City Hotel,0,62,2016,February,8,15,1,1,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,48.6,0,0,Check-Out,2016-02-17
Resort Hotel,0,0,2015,November,49,30,1,1,1,0.0,0,BB,PRT,Direct,Direct,1,0,2,A,A,0,No Deposit,,,0,Transient,38.0,0,0,Check-Out,2015-12-02
City Hotel,0,117,2017,July,27,7,0,2,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,0,Check-Out,2017-07-09
City Hotel,0,206,2016,July,30,23,14,34,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,K,6,No Deposit,9.0,,0,Transient-Party,0.0,0,1,Check-Out,2016-09-09
City Hotel,0,168,2015,September,37,11,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,B,1,No Deposit,1.0,,0,Transient-Party,50.0,0,0,Check-Out,2015-09-13
City Hotel,1,38,2017,January,2,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,67.0,0,Transient,75.0,0,0,Canceled,2016-12-07
City Hotel,0,240,2016,December,53,31,2,1,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,253.1,1,2,Check-Out,2017-01-03
Resort Hotel,1,29,2017,June,23,7,1,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,140.0,0,1,Canceled,2017-05-09
City Hotel,0,8,2015,August,34,18,0,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.0,1,1,Check-Out,2015-08-23
Resort Hotel,0,25,2017,April,15,9,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,81.67,0,1,Check-Out,2017-04-12
City Hotel,0,18,2016,March,11,9,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.0,0,1,Check-Out,2016-03-12
City Hotel,0,5,2015,September,37,7,1,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,109.75,0,0,Check-Out,2015-09-11
Resort Hotel,1,226,2016,December,52,24,2,5,1,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,52.33,0,0,Canceled,2016-06-27
City Hotel,1,161,2017,June,26,26,1,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,126.13,0,2,Canceled,2017-05-26
City Hotel,0,1,2016,March,13,21,1,1,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,89.0,0,0,Check-Out,2016-03-23
City Hotel,0,0,2016,February,7,8,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-02-09
City Hotel,0,0,2015,August,33,11,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,0,Contract,133.0,1,2,Check-Out,2015-08-14
Resort Hotel,0,36,2016,December,51,12,1,1,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient-Party,43.0,0,2,Check-Out,2016-12-14
City Hotel,0,64,2016,April,18,29,1,2,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,198.9,0,2,Check-Out,2016-05-02
City Hotel,1,88,2016,April,15,7,0,2,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,0,Canceled,2016-01-14
Resort Hotel,0,139,2016,June,24,5,4,7,2,0.0,0,HB,NLD,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,93.8,0,0,Check-Out,2016-06-16
City Hotel,0,48,2016,September,37,4,2,0,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,126.0,0,1,Check-Out,2016-09-06
City Hotel,0,10,2017,August,32,12,2,2,2,0.0,0,BB,CN,Direct,Direct,0,0,0,B,A,1,No Deposit,,,0,Transient-Party,99.0,0,0,Check-Out,2017-08-16
City Hotel,0,129,2016,May,21,16,1,3,2,0.0,0,HB,LUX,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,173.0,,0,Transient,106.25,0,0,Check-Out,2016-05-20
City Hotel,1,433,2016,September,37,8,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,70.0,0,0,Canceled,2015-10-20
Resort Hotel,0,6,2016,April,18,29,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,86.0,1,0,Check-Out,2016-05-01
City Hotel,1,152,2017,May,18,3,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,286.0,,0,Transient,100.0,0,0,Canceled,2016-12-02
City Hotel,1,281,2015,July,30,25,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-06
City Hotel,0,34,2016,November,49,27,2,1,1,0.0,0,BB,HUN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,65.0,0,0,Check-Out,2016-11-30
City Hotel,0,206,2016,September,37,8,0,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,0,2,Check-Out,2016-09-11
City Hotel,0,247,2016,June,24,6,1,1,2,0.0,0,HB,AUT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-06-08
City Hotel,0,0,2016,April,15,8,0,1,0,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,B,0,No Deposit,9.0,,0,Transient-Party,6.0,1,0,Check-Out,2016-04-09
City Hotel,0,29,2016,October,44,25,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,85.0,0,0,Check-Out,2016-10-28
City Hotel,0,45,2016,October,43,20,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,2,Check-Out,2016-10-21
City Hotel,1,0,2015,August,34,21,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9.0,,0,Transient,90.0,0,0,Canceled,2015-08-21
City Hotel,1,53,2016,August,35,27,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,157.0,,0,Transient,77.04,0,0,Canceled,2016-07-06
Resort Hotel,0,342,2016,September,40,29,2,4,1,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,0,No Deposit,201.0,,0,Transient-Party,36.0,0,0,Check-Out,2016-10-05
